type,status,priority,estimatedHours,budget,expectedViews,expectedClicks,expectedLeads,expectedConversions,expectedCTR,expectedConversionRate,platforms,channel,complexityScore,riskLevel,delayHours,reopenCount,actualDurationHours
CAMPAIGN,DONE,HIGH,120,5000.00,100000,1200,50,10,1.20,0.50,"Facebook;Instagram",Social,4,2,0.00,0,120
CONTENT_CREATION,IN_REVIEW,MEDIUM,8,300.00,5000,200,10,2,4.00,0.40,Website,Blog,2,1,0.00,1,8
SEO,DONE,CRITICAL,24,1500.00,0,0,0,0,0.00,0.00,Website,Organic,5,4,2.50,0,24
SOCIAL_MEDIA,TO_DO,MEDIUM,16,200.00,20000,400,20,5,2.00,0.25,"Instagram;LinkedIn",Social,3,2,0.00,0,16
EMAIL,IN_PROGRESS,HIGH,18,1200.00,30000,1500,80,20,5.00,0.53,Email,Email,3,2,1.00,0,18
PPC,IN_PROGRESS,CRITICAL,40,8000.00,50000,2500,120,30,5.00,0.60,Google,SEM,5,3,0.00,2,40
ANALYTICS,IN_REVIEW,MEDIUM,12,600.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,12
DESIGN,TO_DO,LOW,6,150.00,0,0,0,0,0.00,0.00,Display,Creative,2,1,0.00,0,6
COPYWRITING,IN_PROGRESS,HIGH,10,400.00,10000,300,25,8,3.00,0.80,Website,Landing,3,2,0.00,1,10
PPC,IN_REVIEW,MEDIUM,14,2000.00,0,0,0,0,0.00,0.00,Google,SEM,4,3,0.00,0,14
SOCIAL_MEDIA,DONE,HIGH,22,2500.00,40000,1800,90,25,4.50,0.62,"Facebook;Google",Social,4,2,0.00,0,22
CONTENT_CREATION,IN_PROGRESS,HIGH,36,3000.00,80000,2200,110,30,2.75,0.50,YouTube,Video,5,3,0.00,0,36
EMAIL,TO_DO,LOW,2,50.00,0,0,0,0,0.00,0.00,Email,Email,1,1,0.00,0,2
DESIGN,IN_PROGRESS,CRITICAL,200,20000.00,0,0,0,0,0.00,0.00,Website,Product,5,5,10.00,1,200
SOCIAL_MEDIA,TO_DO,MEDIUM,80,7000.00,150000,5000,300,60,3.33,0.60,"Instagram;TikTok",Social,4,3,0.00,0,80
EMAIL,DONE,LOW,4,100.00,20000,800,40,10,4.00,0.50,Email,Email,2,1,0.00,0,4
DESIGN,IN_REVIEW,HIGH,20,900.00,15000,600,60,15,4.00,1.00,Website,Landing,3,2,0.00,0,20
ANALYTICS,IN_PROGRESS,MEDIUM,10,400.00,0,0,0,0,0.00,0.00,Internal,Analytics,3,2,0.00,0,10
DESIGN,TO_DO,MEDIUM,14,600.00,0,0,0,0,0.00,0.00,"Instagram;Website",Creative,3,1,0.00,0,14
